encoded_method,path_depth,url_length,query_param_count,query_string_length,payload_length,payload_entropy,special_char_count,header_count,auth_header_present,status_code,response_size,label
3,4,122,8,91,238,6.2906,28,9,0,403,3544,1
1,3,36,0,1,23,3.4973,1,7,1,200,1155,0
1,2,36,0,11,24,1.8737,2,6,1,200,899,0
1,2,17,0,18,6,1.5116,1,7,1,200,800,0
4,2,38,3,72,179,6.5527,16,10,0,403,3252,1
1,2,20,1,9,3,1.5546,1,5,1,200,361,0
1,2,45,2,7,13,1.5879,0,5,1,200,495,0
2,1,32,2,20,23,2.0703,3,7,1,200,579,0
1,1,58,8,64,114,4.5469,18,10,0,500,2795,1
1,3,31,2,2,32,2.8179,1,6,1,200,1217,0
1,3,23,1,0,47,2.1125,4,6,1,200,883,0
1,3,49,0,2,36,3.9151,2,4,1,200,1228,0
2,3,38,8,34,139,4.5763,22,5,0,500,2890,1
1,1,46,1,4,22,2.8133,2,4,1,200,1259,0
2,3,36,1,9,44,1.8869,4,5,1,200,995,0
2,2,25,1,22,27,2.0689,0,4,1,200,832,0
4,5,134,4,89,249,6.1023,46,3,0,400,4879,1
1,3,46,0,19,48,1.1947,1,7,1,200,1491,0
1,2,17,0,4,48,3.9932,2,4,1,200,201,0
1,2,37,0,0,0,1.7187,1,4,1,200,929,0
4,4,84,4,75,172,5.2265,47,10,0,500,297,1
1,3,30,0,8,5,3.0874,2,7,1,200,963,0
1,3,40,2,18,19,2.9355,3,4,1,200,1128,0
1,3,32,0,10,27,3.2056,1,6,1,200,462,0
4,2,141,2,79,162,5.2256,21,7,0,500,4190,1
1,1,49,2,15,15,3.6913,0,7,1,200,827,0
1,2,34,1,2,47,1.3044,2,4,1,200,1113,0
1,2,16,1,2,15,3.9834,3,4,1,200,1000,0
2,5,77,5,27,184,6.6628,42,5,1,403,1145,1
1,2,22,2,26,33,2.0502,0,7,1,200,1078,0
1,1,33,2,16,16,3.9837,4,5,1,200,717,0
1,1,38,0,16,45,3.9,2,7,1,200,1192,0
4,5,114,9,106,210,5.4508,27,11,1,403,669,1
2,2,38,1,14,21,2.0759,2,5,1,200,984,0
2,1,43,1,22,25,3.4303,0,7,1,200,724,0
1,3,34,0,7,45,3.3874,3,6,1,200,670,0
