encoded_method,path_depth,url_length,query_param_count,query_string_length,payload_length,payload_entropy,special_char_count,header_count,auth_header_present,status_code,response_size,feature_vector,sensitive_fields_leaked,label
1,2,30,0,0,0,0.0,0,5,0,200,150,"[1, 2, 30, 0, 0, 0, 0.0, 0, 5, 0, 200, 150]",[],0
1,3,32,0,0,0,0.0,0,5,0,404,48,"[1, 3, 32, 0, 0, 0, 0.0, 0, 5, 0, 404, 48]",[],0
1,3,36,0,0,0,0.0,0,5,0,404,48,"[1, 3, 36, 0, 0, 0, 0.0, 0, 5, 0, 404, 48]",[],1
2,3,39,0,0,49,4.0146,13,7,0,400,64,"[2, 3, 39, 0, 0, 49, 4.0146, 13, 7, 0, 400, 64]",[],0
2,3,36,0,0,48,3.8874,13,7,0,200,81,"[2, 3, 36, 0, 0, 48, 3.8874, 13, 7, 0, 200, 81]",['password'],0
2,3,36,0,0,43,4.3038,17,7,0,200,57,"[2, 3, 36, 0, 0, 43, 4.3038, 17, 7, 0, 200, 57]",[],1
4,3,32,0,0,0,0.0,0,5,0,401,119,"[4, 3, 32, 0, 0, 0, 0.0, 0, 5, 0, 401, 119]",['token'],1
1,1,30,0,0,0,0.0,0,5,0,200,36,"[1, 1, 30, 0, 0, 0, 0.0, 0, 5, 0, 200, 36]",[],0
2,3,36,0,0,54,4.1397,13,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.1397, 13, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,3.9423,13,7,0,200,57,"[2, 3, 36, 0, 0, 51, 3.9423, 13, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.1397,13,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.1397, 13, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,3.9423,13,7,0,400,64,"[2, 3, 39, 0, 0, 51, 3.9423, 13, 7, 0, 400, 64]",[],1
2,3,36,0,0,59,4.1626,13,7,0,200,57,"[2, 3, 36, 0, 0, 59, 4.1626, 13, 7, 0, 200, 57]",[],1
2,3,36,0,0,56,3.9817,13,7,0,200,57,"[2, 3, 36, 0, 0, 56, 3.9817, 13, 7, 0, 200, 57]",[],1
2,3,39,0,0,59,4.1626,13,7,0,400,64,"[2, 3, 39, 0, 0, 59, 4.1626, 13, 7, 0, 400, 64]",[],1
2,3,39,0,0,56,3.9817,13,7,0,400,64,"[2, 3, 39, 0, 0, 56, 3.9817, 13, 7, 0, 400, 64]",[],1
2,3,36,0,0,55,4.1025,13,7,0,200,57,"[2, 3, 36, 0, 0, 55, 4.1025, 13, 7, 0, 200, 57]",[],1
2,3,36,0,0,52,3.9164,13,7,0,200,57,"[2, 3, 36, 0, 0, 52, 3.9164, 13, 7, 0, 200, 57]",[],1
2,3,39,0,0,55,4.1025,13,7,0,400,64,"[2, 3, 39, 0, 0, 55, 4.1025, 13, 7, 0, 400, 64]",[],1
2,3,39,0,0,52,3.9164,13,7,0,400,64,"[2, 3, 39, 0, 0, 52, 3.9164, 13, 7, 0, 400, 64]",[],1
2,3,36,0,0,82,4.5804,14,7,0,200,57,"[2, 3, 36, 0, 0, 82, 4.5804, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,79,4.4923,14,7,0,200,57,"[2, 3, 36, 0, 0, 79, 4.4923, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,82,4.5804,14,7,0,400,64,"[2, 3, 39, 0, 0, 82, 4.5804, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,79,4.4923,14,7,0,400,64,"[2, 3, 39, 0, 0, 79, 4.4923, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,77,4.265,34,7,0,200,57,"[2, 3, 36, 0, 0, 77, 4.265, 34, 7, 0, 200, 57]",[],1
2,3,36,0,0,74,4.1149,34,7,0,200,57,"[2, 3, 36, 0, 0, 74, 4.1149, 34, 7, 0, 200, 57]",[],1
2,3,39,0,0,77,4.265,34,7,0,400,64,"[2, 3, 39, 0, 0, 77, 4.265, 34, 7, 0, 400, 64]",[],1
2,3,39,0,0,74,4.1149,34,7,0,400,64,"[2, 3, 39, 0, 0, 74, 4.1149, 34, 7, 0, 400, 64]",[],1
2,3,36,0,0,78,4.4152,34,7,0,200,57,"[2, 3, 36, 0, 0, 78, 4.4152, 34, 7, 0, 200, 57]",[],1
2,3,36,0,0,75,4.3004,34,7,0,200,57,"[2, 3, 36, 0, 0, 75, 4.3004, 34, 7, 0, 200, 57]",[],1
2,3,39,0,0,78,4.4152,34,7,0,400,64,"[2, 3, 39, 0, 0, 78, 4.4152, 34, 7, 0, 400, 64]",[],1
2,3,39,0,0,75,4.3004,34,7,0,400,64,"[2, 3, 39, 0, 0, 75, 4.3004, 34, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.1069,14,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.1069, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,3.9834,14,7,0,200,57,"[2, 3, 36, 0, 0, 51, 3.9834, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.1069,14,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.1069, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,3.9834,14,7,0,400,64,"[2, 3, 39, 0, 0, 51, 3.9834, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,57,4.0603,14,7,0,200,57,"[2, 3, 36, 0, 0, 57, 4.0603, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,54,3.9787,14,7,0,200,57,"[2, 3, 36, 0, 0, 54, 3.9787, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,57,4.0603,14,7,0,400,64,"[2, 3, 39, 0, 0, 57, 4.0603, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,54,3.9787,14,7,0,400,64,"[2, 3, 39, 0, 0, 54, 3.9787, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,4.0275,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.0275, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,3.8119,14,7,0,200,57,"[2, 3, 36, 0, 0, 49, 3.8119, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,4.0275,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.0275, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,3.8119,14,7,0,400,64,"[2, 3, 39, 0, 0, 49, 3.8119, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.1359,14,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.1359, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,3.8405,14,7,0,200,57,"[2, 3, 36, 0, 0, 51, 3.8405, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.1359,14,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.1359, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,3.8405,14,7,0,400,64,"[2, 3, 39, 0, 0, 51, 3.8405, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,3.9643,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 3.9643, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,3.7314,14,7,0,200,57,"[2, 3, 36, 0, 0, 49, 3.7314, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,3.9643,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 3.9643, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,3.7314,14,7,0,400,64,"[2, 3, 39, 0, 0, 49, 3.7314, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.2459,18,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.2459, 18, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,4.1435,18,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.1435, 18, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.2459,18,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.2459, 18, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,4.1435,18,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.1435, 18, 7, 0, 400, 64]",[],1
2,3,36,0,0,51,4.2239,16,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.2239, 16, 7, 0, 200, 57]",[],1
2,3,36,0,0,48,4.0876,16,7,0,200,57,"[2, 3, 36, 0, 0, 48, 4.0876, 16, 7, 0, 200, 57]",[],1
2,3,39,0,0,51,4.2239,16,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.2239, 16, 7, 0, 400, 64]",[],1
2,3,39,0,0,48,4.0876,16,7,0,400,64,"[2, 3, 39, 0, 0, 48, 4.0876, 16, 7, 0, 400, 64]",[],1
